,Unnamed: 0,country,country_txt,cases,code
0,0,4,Afghanistan,12677,AFG
1,1,5,Albania,64,ALB
2,2,6,Algeria,2567,DZA
3,3,7,Andorra,1,AND
4,4,8,Angola,486,AGO
5,5,10,Antigua and Barbuda,1,ATG
6,6,11,Argentina,718,ARG
7,7,12,Armenia,20,ARM
8,8,14,Australia,100,AUS
9,9,15,Austria,89,AUT
10,10,16,Azerbaijan,44,AZE
11,11,17,Bahamas,4,BHS
12,12,18,Bahrain,180,BHR
13,13,19,Bangladesh,1549,BGD
14,14,20,Barbados,3,BRB
15,15,21,Belgium,128,BEL
16,16,22,Belize,7,BLZ
17,17,23,Benin,8,BEN
18,18,25,Bhutan,6,BTN
19,19,26,Bolivia,275,BOL
20,20,28,Bosnia-Herzegovina,153,BIH
21,21,29,Botswana,10,BWA
22,22,30,Brazil,245,BRA
23,23,31,Brunei,0,BRN
24,24,32,Bulgaria,47,BGR
25,25,33,Burkina Faso,110,BFA
26,26,34,Burundi,600,BDI
27,27,35,Belarus,13,BLR
28,28,36,Cambodia,243,KHM
29,29,37,Cameroon,535,CMR
30,30,38,Canada,80,CAN
31,31,41,Central African Republic,303,CAF
32,32,42,Chad,99,TCD
33,33,43,Chile,2261,CHL
34,34,44,China,221,CHN
35,35,45,Colombia,7905,COL
37,37,47,Republic of the Congo,35,RCB
38,38,49,Costa Rica,56,CRI
39,39,50,Croatia,55,HRV
40,40,51,Cuba,21,CUB
41,41,53,Cyprus,112,CYP
43,43,55,Denmark,37,DNK
44,44,56,Djibouti,22,DJI
45,45,57,Dominica,2,DMA
47,47,59,Ecuador,215,ECU
48,48,60,Egypt,2055,EGY
49,49,61,El Salvador,5227,SLV
50,50,62,Equatorial Guinea,2,GNQ
51,51,63,Eritrea,10,ERI
52,52,64,Estonia,16,EST
53,53,65,Ethiopia,191,ETH
55,55,67,Fiji,16,FJI
56,56,68,Finland,20,FIN
57,57,69,France,2493,FRA
58,58,70,French Guiana,6,GUF
59,59,71,French Polynesia,3,PYF
60,60,72,Gabon,6,GAB
62,62,74,Georgia,193,GEO
63,63,75,Germany,681,DEU
64,64,76,Ghana,17,GHA
65,65,78,Greece,1152,GRC
66,66,80,Grenada,3,GRD
67,67,81,Guadeloupe,47,GLP
68,68,83,Guatemala,1937,GTM
69,69,84,Guinea,22,GIN
70,70,85,Guinea-Bissau,8,GNB
71,71,86,Guyana,19,GUY
72,72,87,Haiti,189,HTI
73,73,88,Honduras,286,HND
74,74,89,Hong Kong,20,HKG
75,75,90,Hungary,40,HUN
76,76,91,Iceland,4,ISL
77,77,92,India,10952,IND
78,78,93,Indonesia,704,IDN
79,79,94,Iran,606,IRN
80,80,95,Iraq,23041,IRQ
81,81,96,Ireland,141,IRL
82,82,97,Israel,1589,ISR
83,83,98,Italy,1403,ITA
85,85,100,Jamaica,32,JAM
86,86,101,Japan,341,JPN
87,87,102,Jordan,86,JOR
88,88,103,Kazakhstan,22,KAZ
89,89,104,Kenya,654,KEN
90,90,106,Kuwait,63,KWT
91,91,107,Kyrgyzstan,29,KGZ
93,93,109,Latvia,13,LVA
94,94,110,Lebanon,2185,LBN
95,95,111,Lesotho,25,LSO
96,96,112,Liberia,32,LBR
97,97,113,Libya,2130,LBY
98,98,115,Lithuania,8,LTU
99,99,116,Luxembourg,14,LUX
102,102,119,Madagascar,23,MDG
103,103,120,Malawi,6,MWI
104,104,121,Malaysia,91,MYS
105,105,122,Maldives,20,MDV
106,106,123,Mali,681,MLI
107,107,124,Malta,22,MLT
108,108,127,Martinique,12,MTQ
109,109,128,Mauritania,15,MRT
110,110,129,Mauritius,0,MUS
111,111,130,Mexico,504,MEX
113,113,136,Morocco,34,MAR
114,114,137,Mozambique,411,MOZ
115,115,138,Myanmar,548,MMR
116,116,139,Namibia,147,NAM
117,117,141,Nepal,1013,NPL
118,118,142,Netherlands,112,NLD
119,119,143,New Caledonia,47,NCL
120,120,144,New Zealand,11,NZL
121,121,145,Nicaragua,1946,NIC
123,123,147,Nigeria,4190,NGA
125,125,151,Norway,16,NOR
126,126,153,Pakistan,13003,PAK
128,128,156,Panama,110,PAN
129,129,157,Papua New Guinea,77,PNG
130,130,158,Paraguay,105,PRY
131,131,159,Peru,5767,PER
132,132,160,Philippines,6442,PHL
133,133,161,Poland,35,POL
134,134,162,Portugal,129,PRT
135,135,164,Qatar,6,QAT
136,136,166,Romania,4,ROU
137,137,167,Russia,1830,RUS
138,138,168,Rwanda,159,RWA
139,139,173,Saudi Arabia,343,SAU
140,140,174,Senegal,119,SEN
142,142,176,Seychelles,2,SYC
143,143,177,Sierra Leone,98,SLE
144,144,178,Singapore,7,SGP
146,146,180,Slovenia,6,SVN
147,147,181,Solomon Islands,4,SLB
148,148,182,Somalia,4274,SOM
149,149,183,South Africa,1911,ZAF
151,151,185,Spain,2819,ESP
152,152,186,Sri Lanka,2853,LKA
156,156,196,Suriname,61,SUR
156,156,196,Suriname,61,SUR
158,158,198,Sweden,117,SWE
159,159,199,Switzerland,91,CHE
160,160,200,Syria,2342,SYR
161,161,201,Taiwan,37,TWN
162,162,202,Tajikistan,183,TJK
163,163,203,Tanzania,53,TZA
164,164,204,Togo,42,TGO
165,165,205,Thailand,3774,THA
166,166,207,Trinidad and Tobago,20,TTO
167,167,208,Tunisia,114,TUN
168,168,209,Turkey,4003,TUR
169,169,210,Turkmenistan,1,TKM
170,170,213,Uganda,372,UGA
171,171,214,Ukraine,1563,UKR
172,172,215,United Arab Emirates,17,ARE
173,173,217,United States,2407,USA
174,174,218,Uruguay,71,URY
175,175,219,Uzbekistan,19,UZB
176,176,220,Vanuatu,2,VUT
178,178,222,Venezuela,256,VEN
179,179,223,Vietnam,8,VNM
180,180,226,Wallis and Futuna,1,WLF
181,181,228,Yemen,3073,YEM
182,182,229,Democratic Republic of the Congo,869,COD
183,183,230,Zambia,58,ZMB
184,184,231,Zimbabwe,97,ZWE
188,188,349,Western Sahara,6,ESH
190,190,362,West Germany (FRG),465,DEU
191,191,377,North Yemen,4,YEM
192,192,403,Rhodesia,80,RHO
193,193,406,South Yemen,2,YEM
196,196,499,East Germany (GDR),35,DEU
197,197,532,New Hebrides,1,NHB
198,198,603,United Kingdom,4280,GBR
199,199,604,Zaire,45,COD
200,200,605,People's Republic of the Congo,3,COG
201,201,1001,Serbia,12,SRB
202,202,1002,Montenegro,7,MNE
203,203,1003,Kosovo,173,RKS
204,204,1004,South Sudan,223,SSD
